Row_ID,Country,Currency,Brand,Brand_Type,Category,Segment,Season,Original_Price,Discount_Percent,Discounted_Price,Stock_Status,Online_Available,In_Store_Available,Data_Source,Collection_Date,Original_Price_USD,Discounted_Price_USD
15,USA,USD,Zara,Competitor,Activewear,Activewear,Spring/Summer 2025,77.45,0,77.45,In Stock,Yes,No,Website Scrape,2025-03-15,77.45,77.45
16,USA,USD,Zara,Competitor,Jackets,Outerwear,Spring/Summer 2024,214.12,20,171.3,Out Of Stock,No,No,Mystery Shopping,2025-01-20,214.12,171.3
17,USA,USD,Zara,Competitor,Jackets,Outerwear,Fall/Winter 2024,368.98,0,368.98,Out Of Stock,Yes,No,Mystery Shopping,2024-01-15,368.98,368.98
18,USA,USD,Zara,Competitor,Jackets,Outerwear,Spring/Summer 2025,169.76,0,169.76,In Stock,Yes,No,Website Scrape,2025-03-15,169.76,169.76
19,USA,USD,Zara,Competitor,Sneakers,Footwear,Spring/Summer 2024,138.97,5,132.02,In Stock,Yes,Yes,Partner Data,2025-01-20,138.97,132.02
20,USA,USD,Zara,Competitor,Sneakers,Footwear,Fall/Winter 2024,310.63,25,232.97,In Stock,Yes,Yes,Mystery Shopping,2024-04-10,310.63,232.97
21,USA,USD,Zara,Competitor,Sneakers,Footwear,Spring/Summer 2025,73.61,0,73.61,In Stock,No,Yes,Partner Data,2024-04-10,73.61,73.61
22,USA,USD,Zara,Competitor,Handbags,Bags,Spring/Summer 2024,161.04,30,112.73,In Stock,Yes,No,Partner Data,2024-10-05,161.04,112.73
23,USA,USD,Zara,Competitor,Handbags,Bags,Fall/Winter 2024,667.05,5,633.7,In Stock,No,No,Partner Data,2024-07-22,667.05,633.7
24,USA,USD,Zara,Competitor,Handbags,Bags,Spring/Summer 2025,339.19,0,339.19,In Stock,Yes,Yes,Mystery Shopping,2024-01-15,339.19,339.19
25,USA,USD,Zara,Competitor,Accessories,Accessories,Spring/Summer 2024,54.78,5,52.04,In Stock,Yes,No,Partner Data,2024-01-15,54.78,52.04
26,USA,USD,Zara,Competitor,Accessories,Accessories,Fall/Winter 2024,29.79,15,25.32,In Stock,Yes,Yes,Partner Data,2024-10-05,29.79,25.32
27,USA,USD,Zara,Competitor,Accessories,Accessories,Spring/Summer 2025,26.49,25,19.87,In Stock,No,Yes,Website Scrape,2024-01-15,26.49,19.87
28,USA,USD,Zara,Competitor,Swimwear,Swimwear,Spring/Summer 2024,30.32,20,24.26,Low Stock,No,No,Website Scrape,2025-03-15,30.32,24.26
29,USA,USD,Zara,Competitor,Swimwear,Swimwear,Fall/Winter 2024,80.66,0,80.66,Low Stock,Yes,Yes,Website Scrape,2024-04-10,80.66,80.66
30,USA,USD,Zara,Competitor,Swimwear,Swimwear,Spring/Summer 2025,38.54,20,30.83,In Stock,Yes,Yes,Website Scrape,2024-01-15,38.54,30.83
31,USA,USD,H&M,Competitor,T-Shirts,Tops,Spring/Summer 2024,27.16,30,19.01,In Stock,Yes,No,Partner Data,2024-01-15,27.16,19.01
32,USA,USD,H&M,Competitor,T-Shirts,Tops,Fall/Winter 2024,45.82,5,43.53,In Stock,No,Yes,Mystery Shopping,2024-04-10,45.82,43.53
33,USA,USD,H&M,Competitor,T-Shirts,Tops,Spring/Summer 2025,42.06,0,42.06,Low Stock,Yes,Yes,Mystery Shopping,2024-10-05,42.06,42.06
34,USA,USD,H&M,Competitor,Formal Shirts,Tops,Spring/Summer 2024,49.12,30,34.38,Low Stock,Yes,Yes,Mystery Shopping,2024-04-10,49.12,34.38
35,USA,USD,H&M,Competitor,Formal Shirts,Tops,Fall/Winter 2024,110.55,30,77.38,In Stock,Yes,Yes,Website Scrape,2025-01-20,110.55,77.38
36,USA,USD,H&M,Competitor,Formal Shirts,Tops,Spring/Summer 2025,68.15,30,47.7,In Stock,Yes,No,Website Scrape,2024-04-10,68.15,47.7
37,USA,USD,H&M,Competitor,Dresses,Dresses,Spring/Summer 2024,35.69,5,33.91,Low Stock,Yes,No,Website Scrape,2025-01-20,35.69,33.91
38,USA,USD,H&M,Competitor,Dresses,Dresses,Fall/Winter 2024,123.58,20,98.86,Out Of Stock,Yes,Yes,Website Scrape,2025-03-15,123.58,98.86
39,USA,USD,H&M,Competitor,Dresses,Dresses,Spring/Summer 2025,138.04,20,110.43,In Stock,Yes,Yes,Mystery Shopping,2024-01-15,138.04,110.43
40,USA,USD,H&M,Competitor,Jeans,Bottoms,Spring/Summer 2024,31.36,0,31.36,In Stock,Yes,No,Mystery Shopping,2024-04-10,31.36,31.36
41,USA,USD,H&M,Competitor,Jeans,Bottoms,Fall/Winter 2024,132.86,5,126.22,In Stock,Yes,Yes,Mystery Shopping,2025-01-20,132.86,126.22
42,USA,USD,H&M,Competitor,Jeans,Bottoms,Spring/Summer 2025,105.03,30,73.52,In Stock,Yes,No,Website Scrape,2024-04-10,105.03,73.52
43,USA,USD,H&M,Competitor,Activewear,Activewear,Spring/Summer 2024,39.05,30,27.33,In Stock,Yes,Yes,Partner Data,2024-04-10,39.05,27.33
44,USA,USD,H&M,Competitor,Activewear,Activewear,Fall/Winter 2024,67.81,10,61.03,Out Of Stock,No,Yes,Website Scrape,2024-01-15,67.81,61.03
45,USA,USD,H&M,Competitor,Activewear,Activewear,Spring/Summer 2025,66.05,0,66.05,In Stock,Yes,Yes,Partner Data,2024-07-22,66.05,66.05
46,USA,USD,H&M,Competitor,Jackets,Outerwear,Spring/Summer 2024,85.7,20,68.56,Out Of Stock,Yes,Yes,Website Scrape,2025-03-15,85.7,68.56
47,USA,USD,H&M,Competitor,Jackets,Outerwear,Fall/Winter 2024,276.76,15,235.25,Out Of Stock,Yes,Yes,Website Scrape,2024-01-15,276.76,235.25
48,USA,USD,H&M,Competitor,Jackets,Outerwear,Spring/Summer 2025,128.54,0,128.54,In Stock,Yes,No,Website Scrape,2025-03-15,128.54,128.54
49,USA,USD,H&M,Competitor,Sneakers,Footwear,Spring/Summer 2024,58.36,20,46.69,Out Of Stock,Yes,Yes,Website Scrape,2024-04-10,58.36,46.69
50,USA,USD,H&M,Competitor,Sneakers,Footwear,Fall/Winter 2024,193.13,15,164.16,Low Stock,Yes,Yes,Website Scrape,2025-03-15,193.13,164.16
51,USA,USD,H&M,Competitor,Sneakers,Footwear,Spring/Summer 2025,59.92,25,44.94,In Stock,Yes,Yes,Mystery Shopping,2024-07-22,59.92,44.94
52,USA,USD,H&M,Competitor,Handbags,Bags,Spring/Summer 2024,394.12,5,374.41,In Stock,Yes,Yes,Mystery Shopping,2024-07-22,394.12,374.41
53,USA,USD,H&M,Competitor,Handbags,Bags,Fall/Winter 2024,415.64,10,374.08,In Stock,No,No,Partner Data,2024-07-22,415.64,374.08
54,USA,USD,H&M,Competitor,Handbags,Bags,Spring/Summer 2025,409.9,10,368.91,In Stock,Yes,Yes,Website Scrape,2025-01-20,409.9,368.91
55,USA,USD,H&M,Competitor,Accessories,Accessories,Spring/Summer 2024,31.0,15,26.35,Low Stock,Yes,Yes,Partner Data,2024-04-10,31.0,26.35
56,USA,USD,H&M,Competitor,Accessories,Accessories,Fall/Winter 2024,21.31,0,21.31,Out Of Stock,Yes,Yes,Mystery Shopping,2024-01-15,21.31,21.31
57,USA,USD,H&M,Competitor,Accessories,Accessories,Spring/Summer 2025,59.73,15,50.77,In Stock,Yes,No,Mystery Shopping,2025-03-15,59.73,50.77
58,USA,USD,H&M,Competitor,Swimwear,Swimwear,Spring/Summer 2024,39.11,10,35.2,Out Of Stock,Yes,Yes,Mystery Shopping,2025-03-15,39.11,35.2
59,USA,USD,H&M,Competitor,Swimwear,Swimwear,Fall/Winter 2024,72.69,0,72.69,Out Of Stock,Yes,Yes,Partner Data,2024-01-15,72.69,72.69
60,USA,USD,H&M,Competitor,Swimwear,Swimwear,Spring/Summer 2025,32.27,15,27.43,Low Stock,No,Yes,Partner Data,2024-04-10,32.27,27.43
61,USA,USD,Mango,Competitor,T-Shirts,Tops,Spring/Summer 2024,41.07,0,41.07,In Stock,Yes,No,Partner Data,2025-03-15,41.07,41.07
62,USA,USD,Mango,Competitor,T-Shirts,Tops,Fall/Winter 2024,43.18,5,41.02,In Stock,Yes,Yes,Website Scrape,2024-01-15,43.18,41.02
63,USA,USD,Mango,Competitor,T-Shirts,Tops,Spring/Summer 2025,18.8,0,18.8,Low Stock,No,No,Partner Data,2024-04-10,18.8,18.8
64,USA,USD,Mango,Competitor,Formal Shirts,Tops,Spring/Summer 2024,120.59,20,96.47,In Stock,Yes,No,Partner Data,2024-01-15,120.59,96.47
65,USA,USD,Mango,Competitor,Formal Shirts,Tops,Fall/Winter 2024,149.17,0,149.17,Low Stock,Yes,Yes,Partner Data,2025-01-20,149.17,149.17
66,USA,USD,Mango,Competitor,Formal Shirts,Tops,Spring/Summer 2025,90.55,0,90.55,Low Stock,Yes,Yes,Partner Data,2025-01-20,90.55,90.55
67,USA,USD,Mango,Competitor,Dresses,Dresses,Spring/Summer 2024,262.25,25,196.69,Out Of Stock,No,No,Mystery Shopping,2024-04-10,262.25,196.69
68,USA,USD,Mango,Competitor,Dresses,Dresses,Fall/Winter 2024,204.11,10,183.7,In Stock,Yes,No,Mystery Shopping,2025-03-15,204.11,183.7
69,USA,USD,Mango,Competitor,Dresses,Dresses,Spring/Summer 2025,90.21,10,81.19,In Stock,Yes,Yes,Mystery Shopping,2025-01-20,90.21,81.19
70,USA,USD,Mango,Competitor,Jeans,Bottoms,Spring/Summer 2024,51.96,20,41.57,In Stock,Yes,Yes,Mystery Shopping,2024-10-05,51.96,41.57
71,USA,USD,Mango,Competitor,Jeans,Bottoms,Fall/Winter 2024,90.33,0,90.33,In Stock,No,Yes,Partner Data,2025-03-15,90.33,90.33
72,USA,USD,Mango,Competitor,Jeans,Bottoms,Spring/Summer 2025,46.58,20,37.26,Low Stock,Yes,Yes,Mystery Shopping,2024-10-05,46.58,37.26
73,USA,USD,Mango,Competitor,Activewear,Activewear,Spring/Summer 2024,116.43,20,93.14,Out Of Stock,Yes,Yes,Website Scrape,2024-07-22,116.43,93.14
74,USA,USD,Mango,Competitor,Activewear,Activewear,Fall/Winter 2024,66.44,15,56.47,Low Stock,Yes,Yes,Website Scrape,2025-01-20,66.44,56.47
75,USA,USD,Mango,Competitor,Activewear,Activewear,Spring/Summer 2025,82.77,0,82.77,In Stock,No,Yes,Mystery Shopping,2024-04-10,82.77,82.77
76,USA,USD,Mango,Competitor,Jackets,Outerwear,Spring/Summer 2024,79.97,5,75.97,Low Stock,Yes,Yes,Mystery Shopping,2024-07-22,79.97,75.97
77,USA,USD,Mango,Competitor,Jackets,Outerwear,Fall/Winter 2024,342.47,10,308.22,In Stock,No,Yes,Partner Data,2025-01-20,342.47,308.22
78,USA,USD,Mango,Competitor,Jackets,Outerwear,Spring/Summer 2025,85.28,5,81.02,In Stock,Yes,Yes,Website Scrape,2024-04-10,85.28,81.02
79,USA,USD,Mango,Competitor,Sneakers,Footwear,Spring/Summer 2024,276.11,5,262.3,In Stock,No,No,Website Scrape,2025-01-20,276.11,262.3
80,USA,USD,Mango,Competitor,Sneakers,Footwear,Fall/Winter 2024,300.24,10,270.22,In Stock,Yes,No,Partner Data,2025-03-15,300.24,270.22
81,USA,USD,Mango,Competitor,Sneakers,Footwear,Spring/Summer 2025,247.77,0,247.77,In Stock,Yes,No,Website Scrape,2024-07-22,247.77,247.77
82,USA,USD,Mango,Competitor,Handbags,Bags,Spring/Summer 2024,414.65,20,331.72,Low Stock,Yes,Yes,Partner Data,2025-03-15,414.65,331.72
83,USA,USD,Mango,Competitor,Handbags,Bags,Fall/Winter 2024,523.67,10,471.3,Out Of Stock,Yes,No,Website Scrape,2024-07-22,523.67,471.3
84,USA,USD,Mango,Competitor,Handbags,Bags,Spring/Summer 2025,380.94,0,380.94,Out Of Stock,Yes,Yes,Mystery Shopping,2024-10-05,380.94,380.94
85,USA,USD,Mango,Competitor,Accessories,Accessories,Spring/Summer 2024,19.1,25,14.33,In Stock,No,Yes,Partner Data,2025-01-20,19.1,14.33
86,USA,USD,Mango,Competitor,Accessories,Accessories,Fall/Winter 2024,79.59,30,55.71,Low Stock,No,Yes,Partner Data,2025-01-20,79.59,55.71
87,USA,USD,Mango,Competitor,Accessories,Accessories,Spring/Summer 2025,31.29,0,31.29,In Stock,No,Yes,Mystery Shopping,2025-01-20,31.29,31.29
88,USA,USD,Mango,Competitor,Swimwear,Swimwear,Spring/Summer 2024,71.4,0,71.4,Low Stock,Yes,Yes,Mystery Shopping,2024-04-10,71.4,71.4
89,USA,USD,Mango,Competitor,Swimwear,Swimwear,Fall/Winter 2024,49.58,10,44.62,Out Of Stock,Yes,No,Website Scrape,2025-01-20,49.58,44.62
90,USA,USD,Mango,Competitor,Swimwear,Swimwear,Spring/Summer 2025,96.47,20,77.18,Low Stock,Yes,No,Mystery Shopping,2025-03-15,96.47,77.18
91,USA,USD,Uniqlo,Competitor,T-Shirts,Tops,Spring/Summer 2024,39.77,0,39.77,In Stock,Yes,Yes,Mystery Shopping,2025-03-15,39.77,39.77
92,USA,USD,Uniqlo,Competitor,T-Shirts,Tops,Fall/Winter 2024,22.42,15,19.06,Low Stock,Yes,Yes,Partner Data,2025-01-20,22.42,19.06
93,USA,USD,Uniqlo,Competitor,T-Shirts,Tops,Spring/Summer 2025,25.92,10,23.33,In Stock,Yes,Yes,Website Scrape,2025-03-15,25.92,23.33
94,USA,USD,Uniqlo,Competitor,Formal Shirts,Tops,Spring/Summer 2024,43.42,30,30.39,In Stock,Yes,Yes,Partner Data,2024-10-05,43.42,30.39
95,USA,USD,Uniqlo,Competitor,Formal Shirts,Tops,Fall/Winter 2024,54.18,30,37.93,Out Of Stock,Yes,Yes,Website Scrape,2024-07-22,54.18,37.93
96,USA,USD,Uniqlo,Competitor,Formal Shirts,Tops,Spring/Summer 2025,47.14,0,47.14,Out Of Stock,Yes,Yes,Website Scrape,2024-01-15,47.14,47.14
97,USA,USD,Uniqlo,Competitor,Dresses,Dresses,Spring/Summer 2024,133.46,0,133.46,Low Stock,Yes,Yes,Partner Data,2024-07-22,133.46,133.46
98,USA,USD,Uniqlo,Competitor,Dresses,Dresses,Fall/Winter 2024,114.84,0,114.84,In Stock,Yes,Yes,Website Scrape,2024-01-15,114.84,114.84
99,USA,USD,Uniqlo,Competitor,Dresses,Dresses,Spring/Summer 2025,98.59,0,98.59,In Stock,Yes,No,Mystery Shopping,2024-01-15,98.59,98.59
100,USA,USD,Uniqlo,Competitor,Jeans,Bottoms,Spring/Summer 2024,146.47,20,117.18,Out Of Stock,Yes,No,Mystery Shopping,2024-10-05,146.47,117.18
101,USA,USD,Uniqlo,Competitor,Jeans,Bottoms,Fall/Winter 2024,139.23,20,111.38,In Stock,Yes,No,Partner Data,2024-01-15,139.23,111.38
102,USA,USD,Uniqlo,Competitor,Jeans,Bottoms,Spring/Summer 2025,142.47,5,135.35,In Stock,Yes,Yes,Website Scrape,2024-04-10,142.47,135.35
103,USA,USD,Uniqlo,Competitor,Activewear,Activewear,Spring/Summer 2024,63.56,20,50.85,Low Stock,No,Yes,Website Scrape,2024-04-10,63.56,50.85
104,USA,USD,Uniqlo,Competitor,Activewear,Activewear,Fall/Winter 2024,43.54,25,32.66,In Stock,Yes,Yes,Partner Data,2025-01-20,43.54,32.66
105,USA,USD,Uniqlo,Competitor,Activewear,Activewear,Spring/Summer 2025,77.88,20,62.3,In Stock,Yes,No,Website Scrape,2024-07-22,77.88,62.3
106,USA,USD,Uniqlo,Competitor,Jackets,Outerwear,Spring/Summer 2024,277.48,0,277.48,In Stock,Yes,Yes,Website Scrape,2024-10-05,277.48,277.48
107,USA,USD,Uniqlo,Competitor,Jackets,Outerwear,Fall/Winter 2024,255.02,10,229.52,Out Of Stock,No,Yes,Website Scrape,2025-01-20,255.02,229.52
108,USA,USD,Uniqlo,Competitor,Jackets,Outerwear,Spring/Summer 2025,62.1,15,52.78,Out Of Stock,Yes,Yes,Website Scrape,2024-04-10,62.1,52.78
109,USA,USD,Uniqlo,Competitor,Sneakers,Footwear,Spring/Summer 2024,255.21,0,255.21,In Stock,Yes,Yes,Mystery Shopping,2025-01-20,255.21,255.21
110,USA,USD,Uniqlo,Competitor,Sneakers,Footwear,Fall/Winter 2024,188.48,0,188.48,Out Of Stock,No,No,Mystery Shopping,2024-01-15,188.48,188.48
111,USA,USD,Uniqlo,Competitor,Sneakers,Footwear,Spring/Summer 2025,141.08,15,119.92,In Stock,Yes,Yes,Mystery Shopping,2025-03-15,141.08,119.92
112,USA,USD,Uniqlo,Competitor,Handbags,Bags,Spring/Summer 2024,291.67,20,233.34,Out Of Stock,Yes,Yes,Website Scrape,2024-07-22,291.67,233.34
113,USA,USD,Uniqlo,Competitor,Handbags,Bags,Fall/Winter 2024,172.66,20,138.13,Out Of Stock,Yes,No,Partner Data,2024-10-05,172.66,138.13
114,USA,USD,Uniqlo,Competitor,Handbags,Bags,Spring/Summer 2025,242.83,15,206.41,Out Of Stock,No,No,Mystery Shopping,2024-01-15,242.83,206.41
115,USA,USD,Uniqlo,Competitor,Accessories,Accessories,Spring/Summer 2024,20.71,10,18.64,Low Stock,No,Yes,Website Scrape,2025-03-15,20.71,18.64
116,USA,USD,Uniqlo,Competitor,Accessories,Accessories,Fall/Winter 2024,43.56,0,43.56,In Stock,Yes,No,Mystery Shopping,2024-01-15,43.56,43.56
117,USA,USD,Uniqlo,Competitor,Accessories,Accessories,Spring/Summer 2025,22.62,0,22.62,Low Stock,Yes,No,Website Scrape,2024-10-05,22.62,22.62
118,USA,USD,Uniqlo,Competitor,Swimwear,Swimwear,Spring/Summer 2024,78.75,10,70.88,Low Stock,No,Yes,Website Scrape,2024-10-05,78.75,70.88
119,USA,USD,Uniqlo,Competitor,Swimwear,Swimwear,Fall/Winter 2024,53.86,30,37.7,In Stock,Yes,Yes,Mystery Shopping,2024-07-22,53.86,37.7
120,USA,USD,Uniqlo,Competitor,Swimwear,Swimwear,Spring/Summer 2025,80.59,0,80.59,In Stock,Yes,No,Partner Data,2025-03-15,80.59,80.59
121,USA,USD,Gap,Competitor,T-Shirts,Tops,Spring/Summer 2024,32.16,30,22.51,Low Stock,Yes,Yes,Partner Data,2025-01-20,32.16,22.51
122,USA,USD,Gap,Competitor,T-Shirts,Tops,Fall/Winter 2024,30.03,5,28.53,In Stock,No,Yes,Mystery Shopping,2024-01-15,30.03,28.53
123,USA,USD,Gap,Competitor,T-Shirts,Tops,Spring/Summer 2025,26.32,20,21.06,Low Stock,Yes,Yes,Website Scrape,2024-04-10,26.32,21.06
124,USA,USD,Gap,Competitor,Formal Shirts,Tops,Spring/Summer 2024,81.98,0,81.98,Low Stock,Yes,No,Mystery Shopping,2024-01-15,81.98,81.98
125,USA,USD,Gap,Competitor,Formal Shirts,Tops,Fall/Winter 2024,104.07,0,104.07,In Stock,No,Yes,Mystery Shopping,2025-01-20,104.07,104.07
126,USA,USD,Gap,Competitor,Formal Shirts,Tops,Spring/Summer 2025,103.34,15,87.84,Out Of Stock,No,Yes,Partner Data,2025-03-15,103.34,87.84
127,USA,USD,Gap,Competitor,Dresses,Dresses,Spring/Summer 2024,202.98,30,142.09,In Stock,Yes,Yes,Partner Data,2025-03-15,202.98,142.09
128,USA,USD,Gap,Competitor,Dresses,Dresses,Fall/Winter 2024,220.13,0,220.13,Low Stock,Yes,No,Partner Data,2024-01-15,220.13,220.13
129,USA,USD,Gap,Competitor,Dresses,Dresses,Spring/Summer 2025,119.63,0,119.63,In Stock,Yes,Yes,Mystery Shopping,2024-07-22,119.63,119.63
130,USA,USD,Gap,Competitor,Jeans,Bottoms,Spring/Summer 2024,80.28,30,56.2,Low Stock,Yes,Yes,Website Scrape,2024-01-15,80.28,56.2
131,USA,USD,Gap,Competitor,Jeans,Bottoms,Fall/Winter 2024,111.48,5,105.91,Low Stock,Yes,Yes,Mystery Shopping,2025-03-15,111.48,105.91
132,USA,USD,Gap,Competitor,Jeans,Bottoms,Spring/Summer 2025,66.34,0,66.34,Low Stock,Yes,No,Partner Data,2024-04-10,66.34,66.34
133,USA,USD,Gap,Competitor,Activewear,Activewear,Spring/Summer 2024,30.1,10,27.09,Low Stock,Yes,Yes,Mystery Shopping,2024-04-10,30.1,27.09
134,USA,USD,Gap,Competitor,Activewear,Activewear,Fall/Winter 2024,111.76,0,111.76,In Stock,No,No,Mystery Shopping,2025-01-20,111.76,111.76
135,USA,USD,Gap,Competitor,Activewear,Activewear,Spring/Summer 2025,48.75,0,48.75,Low Stock,Yes,Yes,Partner Data,2025-03-15,48.75,48.75
136,USA,USD,Gap,Competitor,Jackets,Outerwear,Spring/Summer 2024,306.0,25,229.5,In Stock,Yes,No,Mystery Shopping,2024-04-10,306.0,229.5
137,USA,USD,Gap,Competitor,Jackets,Outerwear,Fall/Winter 2024,251.82,0,251.82,In Stock,Yes,Yes,Mystery Shopping,2024-01-15,251.82,251.82
138,USA,USD,Gap,Competitor,Jackets,Outerwear,Spring/Summer 2025,236.73,0,236.73,In Stock,Yes,No,Mystery Shopping,2024-04-10,236.73,236.73
139,USA,USD,Gap,Competitor,Sneakers,Footwear,Spring/Summer 2024,92.76,15,78.85,Out Of Stock,Yes,Yes,Mystery Shopping,2024-10-05,92.76,78.85
140,USA,USD,Gap,Competitor,Sneakers,Footwear,Fall/Winter 2024,257.28,15,218.69,In Stock,No,Yes,Website Scrape,2024-04-10,257.28,218.69
141,USA,USD,Gap,Competitor,Sneakers,Footwear,Spring/Summer 2025,243.88,20,195.1,Out Of Stock,Yes,Yes,Mystery Shopping,2024-01-15,243.88,195.1
142,USA,USD,Gap,Competitor,Handbags,Bags,Spring/Summer 2024,188.4,15,160.14,In Stock,No,No,Mystery Shopping,2024-01-15,188.4,160.14
143,USA,USD,Gap,Competitor,Handbags,Bags,Fall/Winter 2024,386.71,30,270.7,In Stock,Yes,No,Website Scrape,2025-03-15,386.71,270.7
144,USA,USD,Gap,Competitor,Handbags,Bags,Spring/Summer 2025,476.29,10,428.66,Low Stock,Yes,Yes,Website Scrape,2024-01-15,476.29,428.66
145,USA,USD,Gap,Competitor,Accessories,Accessories,Spring/Summer 2024,28.15,0,28.15,In Stock,Yes,Yes,Mystery Shopping,2024-07-22,28.15,28.15
146,USA,USD,Gap,Competitor,Accessories,Accessories,Fall/Winter 2024,52.49,30,36.74,Low Stock,Yes,Yes,Partner Data,2024-01-15,52.49,36.74
147,USA,USD,Gap,Competitor,Accessories,Accessories,Spring/Summer 2025,62.23,10,56.01,In Stock,Yes,Yes,Mystery Shopping,2024-10-05,62.23,56.01
148,USA,USD,Gap,Competitor,Swimwear,Swimwear,Spring/Summer 2024,89.51,0,89.51,In Stock,Yes,Yes,Mystery Shopping,2024-07-22,89.51,89.51
149,USA,USD,Gap,Competitor,Swimwear,Swimwear,Fall/Winter 2024,30.47,25,22.85,In Stock,Yes,No,Partner Data,2025-01-20,30.47,22.85
150,USA,USD,Gap,Competitor,Swimwear,Swimwear,Spring/Summer 2025,83.97,15,71.37,In Stock,Yes,No,Website Scrape,2024-01-15,83.97,71.37
151,USA,USD,Massimo Dutti,Competitor,T-Shirts,Tops,Spring/Summer 2024,71.04,5,67.49,In Stock,Yes,Yes,Partner Data,2024-01-15,71.04,67.49
152,USA,USD,Massimo Dutti,Competitor,T-Shirts,Tops,Fall/Winter 2024,38.89,0,38.89,Out Of Stock,Yes,Yes,Website Scrape,2025-03-15,38.89,38.89
153,USA,USD,Massimo Dutti,Competitor,T-Shirts,Tops,Spring/Summer 2025,70.21,15,59.68,In Stock,Yes,Yes,Website Scrape,2024-07-22,70.21,59.68
154,USA,USD,Massimo Dutti,Competitor,Formal Shirts,Tops,Spring/Summer 2024,50.17,30,35.12,In Stock,Yes,Yes,Mystery Shopping,2024-07-22,50.17,35.12
155,USA,USD,Massimo Dutti,Competitor,Formal Shirts,Tops,Fall/Winter 2024,118.81,30,83.17,In Stock,Yes,No,Partner Data,2025-01-20,118.81,83.17
156,USA,USD,Massimo Dutti,Competitor,Formal Shirts,Tops,Spring/Summer 2025,90.64,0,90.64,In Stock,No,Yes,Mystery Shopping,2025-03-15,90.64,90.64
157,USA,USD,Massimo Dutti,Competitor,Dresses,Dresses,Spring/Summer 2024,80.26,25,60.2,In Stock,Yes,Yes,Partner Data,2024-04-10,80.26,60.2
158,USA,USD,Massimo Dutti,Competitor,Dresses,Dresses,Fall/Winter 2024,64.82,30,45.37,In Stock,No,No,Partner Data,2024-07-22,64.82,45.37
159,USA,USD,Massimo Dutti,Competitor,Dresses,Dresses,Spring/Summer 2025,180.83,0,180.83,In Stock,Yes,Yes,Mystery Shopping,2024-04-10,180.83,180.83
160,USA,USD,Massimo Dutti,Competitor,Jeans,Bottoms,Spring/Summer 2024,136.54,20,109.23,Low Stock,Yes,Yes,Mystery Shopping,2024-07-22,136.54,109.23
161,USA,USD,Massimo Dutti,Competitor,Jeans,Bottoms,Fall/Winter 2024,177.45,0,177.45,Low Stock,Yes,Yes,Website Scrape,2024-01-15,177.45,177.45
162,USA,USD,Massimo Dutti,Competitor,Jeans,Bottoms,Spring/Summer 2025,138.94,15,118.1,In Stock,Yes,No,Partner Data,2025-01-20,138.94,118.1
